Name,Diet,Length,Taxonomy,Species
Erlikosaurus,Omnivorous,3.4M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Andrewsi
Euhelopus,Herbivorous,10.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Zdanskyi
Euoplocephalus,Herbivorous,7.0M,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Ankylosaurid
Europasaurus,Herbivorous,6.2M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,Holgeri
Eustreptospondylus,Carnivorous,7.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Oxoniensis
Fukuiraptor,Carnivorous,4.2M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,Kitadaniensis
Fukuisaurus,Herbivorous,4.7M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Tetoriensius
Gallimimus,Omnivorous,6.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Bullatus
Gargoyleosaurus,Herbivorous,4.0M,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Parkpinorum
Garudimimus,Omnivorous,4.7M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Brevipes
Gasosaurus,Carnivorous,4.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda,Constructus
Gasparinisaura,Herbivorous,0.8M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Cincosaltensis
Gastonia,Herbivorous,4.6M,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Burgei
Giganotosaurus,Carnivorous,12.5M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Carolinii
Gilmoreosaurus,Herbivorous,6.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Mongoliensis
Giraffatitan,Herbivorous,23.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,Brancai
Gobisaurus,Herbivorous,5.0M,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Domoculus
Gorgosaurus,Carnivorous,8.6M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,Libratus
Goyocephale,Herbivorous,2.0M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala,Lattimorei
Gryposaurus,Herbivorous,10.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Notabilis
Guaibasaurus,Herbivorous,1.8M,Dinosauria Saurischia Theropoda,Candelariensis
Guanlong,Carnivorous,3.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Wucaii
Hadrosaurus,Herbivorous,9.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Foulkii
Haplocanthosaurus,Herbivorous,21.5M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Camarasauridae,Priscus
Harpymimus,Omnivorous,2.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Okladnikovi
Herrerasaurus,Carnivorous,3.0M,Dinosauria Saurischia Theropoda Herrerasauridae,Ischigualastensis
Hesperosaurus,Herbivorous,6.0M,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Mjosi
Heterodontosaurus,Herbivorous,1.2M,Dinosauria Ornithischia Genasauria Cerapoda Heterodontosauridae,Tucki
Heyuannia,Omnivorous,2.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,Yanshini
Homalocephale,Herbivorous,1.5M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea,Calathocercos
Huayangosaurus,Herbivorous,4.5M,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Huayangosauridae,Taibaii
Hylaeosaurus,Herbivorous,5.0M,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Armatus
Hypacrosaurus,Herbivorous,9.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Altispinus
